Video_Title,Video_Description,Upload_Date,Duration_Minutes,View_Count,Like_Count,Comment_Count,Channel_Subscriber_Count,Actual_Quality_Score,Like_To_View Ratio,Comment_to_View Ratio,Engagement_Rate
Get hired at Google TOMORROW!!!,Use this exact resume template to bypass all interviews,05-03-2024,12,1600000,5100,250,850000,14,0.0031875,0.00015625,0.334375
Do NOT use Github!!!,Why github is stealing your code and what to use instead,14-09-2020,10,1250000,4100,160,620000,18,0.00328,0.000128,0.3408
Learn SQL by sleeping!!!,Subliminal SQL messaging for database mastery,08-06-2021,8,540000,1200,20,180000,11,0.002222222,3.70E-05,0.225925926
The end of web development!!!,Why web devs will be unemployed by next year,25-11-2022,14,1350000,4500,190,680000,22,0.003333333,0.000140741,0.347407407
Master Node.js in 10 MINUTES!!!,The backend crash course you desperately need right now,12-06-2023,11,880000,2800,80,410000,25,0.003181818,9.09E-05,0.327272727
Stop using variables!!!,The revolutionary new way to code without storing data,05-01-2024,9,1020000,3400,110,490000,17,0.003333333,0.000107843,0.344117647
You are learning Python WRONG!!!,The secret python syntax only pros know about,22-05-2020,13,790000,2400,70,360000,21,0.003037975,8.86E-05,0.312658228
Make $5k a day with simple CSS!!!,Turn basic styles into massive daily profits instantly,16-08-2021,7,960000,3100,95,450000,16,0.003229167,9.90E-05,0.3328125
Learn algorithms without math!!!,The easiest way to pass interviews with zero studying,03-04-2022,10,1120000,3700,130,540000,20,0.003303571,0.000116071,0.341964286
I tried coding for 1 HOUR and got hired!!!,The unbelievable true story of how I became a senior dev fast,09-09-2023,11,895000,2200,80,390000,13,0.002458101,8.94E-05,0.254748603
STOP using React in 2024!!!,React is completely dead and here is the proof you need,20-02-2024,14,1750000,4800,210,850000,18,0.002742857,0.00012,0.286285714
Make a billion dollars with this one line of code!!!,The secret algorithm that big tech is trying to hide from you,05-12-2021,6,2200000,6000,300,980000,10,0.002727273,0.000136364,0.286363636
Master Java in 4 MINUTES!!!,Skip the boring stuff and write enterprise applications instantly,28-07-2022,4,650000,1800,45,260000,15,0.002769231,6.92E-05,0.283846154
NOBODY is talking about this secret language!!!,Learn this obscure language to guarantee a tech job tomorrow,14-10-2023,12,1050000,3100,95,470000,22,0.002952381,9.05E-05,0.304285714
Why you WILL get fired as a developer!!!,The exact things you are doing that will ruin your career,20-11-2020,15,1350000,4200,160,610000,19,0.003111111,0.000118519,0.322962963
The ultimate CSS hack to get ANY job!!!,Impress every interviewer with this one simple trick,18-06-2021,8,780000,2300,70,340000,25,0.002948718,8.97E-05,0.303846154
Build Facebook in 10 MINUTES!!!,Step by step guide to recreate social media giants fast,01-09-2022,10,920000,2800,85,410000,16,0.003043478,9.24E-05,0.313586957
You do NOT need a degree to code!!!,How I became a CTO without ever going to high school,25-03-2023,13,1150000,3400,110,520000,21,0.002956522,9.57E-05,0.305217391
Learn Cyber Security in 5 MINUTES!!!,Become a master hacker and penetrate any system today,10-01-2024,5,840000,2400,65,380000,14,0.002857143,7.74E-05,0.293452381
This new AI writes ALL your code!!!,Never type a single line of javascript again guaranteed,11-11-2023,9,1650000,4900,190,750000,11,0.002969697,0.000115152,0.308484848
Make a 3D Game with ZERO coding!!!,Use this secret engine to build triple A games instantly,30-08-2021,11,730000,2100,60,320000,17,0.002876712,8.22E-05,0.295890411
The death of Python is here!!!,Why python developers will be obsolete in exactly one month,15-04-2022,14,1450000,4100,150,680000,20,0.002827586,0.000103448,0.293103448
Get $200k starting salary with HTML!!!,How to negotiate massive pay using only basic web skills,07-07-2020,12,980000,2900,88,440000,24,0.002959184,8.98E-05,0.304897959
Learn Docker in 60 SECONDS!!!,Containerize your entire infrastructure before your coffee cools,05-05-2023,2,540000,1500,30,210000,12,0.002777778,5.56E-05,0.283333333
Why I QUIT being a software engineer!!!,The brutal truth about the tech industry that nobody tells you,22-10-2021,16,2100000,5800,320,920000,26,0.002761905,0.000152381,0.291428571
The best programming language for 2024 GUARANTEED!!!,If you do not learn this you will never find a job,01-02-2024,10,1250000,3600,120,550000,19,0.00288,0.000096,0.2976
Master Git without typing commands!!!,The visual tool that makes the command line totally useless,08-11-2022,8,670000,1900,55,290000,23,0.002835821,8.21E-05,0.291791045
Create a Crypto Coin in 2 MINUTES!!!,Launch your own cryptocurrency and become a billionaire overnight,12-03-2021,7,1850000,5200,250,810000,10,0.002810811,0.000135135,0.294594595
The ONLY Javascript tutorial you need!!!,Watch this once and you are a master of the web forever,20-08-2023,11,940000,2700,85,420000,18,0.00287234,9.04E-05,0.296276596
Learn Django in 3 MINUTES!!!,The fastest python web framework tutorial on the internet,05-09-2020,3,610000,1700,40,250000,14,0.002786885,6.56E-05,0.285245902
This Linux trick makes you a HACKER!!!,Open the terminal and impress everyone with green text,15-01-2022,6,820000,2400,75,360000,21,0.002926829,9.15E-05,0.301829268
Do NOT learn Data Structures!!!,Why algorithms are a total scam for modern web developers,18-12-2023,14,1050000,3100,95,480000,17,0.002952381,9.05E-05,0.304285714
Build an AI like ChatGPT in 5 MINUTES!!!,Train massive neural networks on your laptop right now,08-03-2024,9,1550000,4400,180,710000,12,0.00283871,0.000116129,0.295483871
Make passive income with basic APIs!!!,Plug and play these endpoints for free money every day,25-05-2021,12,790000,2300,68,340000,25,0.002911392,8.61E-05,0.299746835
The end of Full Stack Developers!!!,Why you must specialize today or lose your career forever,28-10-2022,15,1150000,3300,115,530000,19,0.002869565,0.0001,0.296956522
Learn C# in 10 MINUTES!!!,Dominate enterprise software engineering with this crash course,10-12-2020,10,720000,2100,60,310000,16,0.002916667,8.33E-05,0.3
How to hack NASA with HTML!!!,The forbidden web tags that the government wants hidden,02-07-2023,8,2500000,7000,450,990000,11,0.0028,0.00018,0.298
Mastering Regex in 60 SECONDS!!!,Understand regular expressions faster than humanly possible,18-11-2021,4,580000,1600,35,230000,15,0.002758621,6.03E-05,0.281896552
The BIGGEST secret in tech interviews!!!,Say this one sentence to pass any coding challenge instantly,25-01-2024,11,1350000,3900,140,620000,22,0.002888889,0.000103704,0.299259259
Deep Dive: Understanding React Hooks,Comprehensive overview of useEffect and useState internals,18-05-2021,45,65000,5200,450,120000,92,0.08,0.006923077,8.692307692
Advanced Backend - Masterclass,Scaling microservices architecture for massive user loads,22-09-2022,85,42000,3800,320,85000,88,0.09047619,0.007619048,9.80952381
Python Sockets: Multiplayer Game Architecture,Building a robust server for synchronous multiplayer games,05-11-2023,65,38000,3400,280,75000,95,0.089473684,0.007368421,9.684210526
Audio DSP in Python: Analyzing Sound Frequencies,Implementing fast fourier transforms for sound engineering,14-02-2024,55,25000,2100,190,45000,91,0.084,0.0076,9.16
N-Body Simulations with Python and NumPy,Coding orbital mechanics and cosmology models from scratch,30-07-2020,75,55000,4800,410,110000,94,0.087272727,0.007454545,9.472727273
Spectroscopy Data Analysis using Pandas,Processing UV IR and NMR datasets for chemistry research,12-10-2021,50,22000,1800,150,40000,89,0.081818182,0.006818182,8.863636364
Augmented Reality Web Apps for Cultural Heritage,Integrating AR.js for historical site visualization,08-12-2022,60,31000,2700,220,60000,86,0.087096774,0.007096774,9.419354839
Advanced UI Design Systems in Figma,Creating scalable component libraries for enterprise apps,17-04-2023,48,48000,4100,350,95000,93,0.085416667,0.007291667,9.270833333
Bot Programming for Competitive Platforms,Pathfinding and decision making algorithms for code wars,25-01-2024,70,29000,2500,210,55000,96,0.086206897,0.007241379,9.344827586
System Design: Telecommunication APIs,Architecting scalable communication networks and routing,05-11-2020,90,36000,3200,270,70000,87,0.088888889,0.0075,9.638888889
Deep Dive: Quantum Mechanics Simulation,Using Qiskit to model basic quantum circuits in Python,20-03-2021,80,41000,3600,290,80000,90,0.087804878,0.007073171,9.487804878
Advanced WebSockets for Monopoly Servers,Handling state and turn logic in real time web games,15-06-2022,58,27000,2300,180,50000,97,0.085185185,0.006666667,9.185185185
Mastering FL Studio Plugins via Code,Writing custom audio effects and synthesizers,09-08-2023,62,19000,1600,140,35000,85,0.084210526,0.007368421,9.157894737
Event Management System Architecture,Database design for college fest pronites and scheduling,10-03-2024,45,24000,2000,170,42000,88,0.083333333,0.007083333,9.041666667
GSoC Preparation Masterclass,How to read large codebases and submit your first PR,18-12-2020,110,75000,6800,550,140000,98,0.090666667,0.007333333,9.8
Deep Learning for Computer Vision,Implementing CNNs from scratch using PyTorch,25-08-2021,95,68000,6100,480,130000,92,0.089705882,0.007058824,9.676470588
Advanced Calculus Concepts in Code,Visualizing derivatives and integrals using Matplotlib,11-02-2022,55,34000,2900,240,65000,89,0.085294118,0.007058824,9.235294118
Understanding Memory Management in C++,A deep dive into pointers references and garbage collection,06-07-2023,85,47000,4200,360,90000,94,0.089361702,0.007659574,9.70212766
Building a Custom UI Library from Scratch,Translating Figma variables into scalable CSS architecture,28-02-2024,65,39000,3500,290,75000,91,0.08974359,0.007435897,9.717948718
Microservices with Go and gRPC,High performance backend communication protocols explained,14-10-2020,75,44000,3900,320,85000,86,0.088636364,0.007272727,9.590909091
Advanced Database Indexing Strategies,Optimizing PostgreSQL queries for massive datasets,09-05-2021,60,32000,2800,230,62000,90,0.0875,0.0071875,9.46875
WebAssembly Masterclass with Rust,Running near native performance code in the browser,19-11-2022,82,28000,2400,190,54000,95,0.085714286,0.006785714,9.25
Deep Dive: The Virtual DOM Explained,How React diffing algorithms work under the hood,24-03-2023,50,58000,5100,420,115000,93,0.087931034,0.007241379,9.517241379
Implementing OAuth 2.0 Securely,Best practices for user authentication and authorization,12-01-2024,45,41000,3600,300,80000,88,0.087804878,0.007317073,9.512195122
Designing Real Time Analytics Dashboards,Handling high throughput data streams with Kafka,28-04-2020,78,35000,3100,260,68000,91,0.088571429,0.007428571,9.6
Advanced Git Workflows for Teams,Managing complex merge conflicts and rebase strategies,03-09-2021,40,52000,4600,380,105000,87,0.088461538,0.007307692,9.576923077
Deep Dive: Node.js Event Loop,Understanding libuv and asynchronous non-blocking IO,17-01-2022,55,49000,4300,350,98000,94,0.087755102,0.007142857,9.489795918
Building a Physics Engine in Javascript,Collision detection and resolution for 2D rigid bodies,22-10-2023,90,26000,2200,180,48000,96,0.084615385,0.006923077,9.153846154
Security Deep Dive: Preventing XSS and CSRF,Hardening your web applications against common attacks,15-03-2024,65,37000,3300,270,72000,89,0.089189189,0.007297297,9.648648649
Functional Programming in Javascript,Mastering closures higher order functions and currying,08-08-2020,58,46000,4100,340,88000,92,0.089130435,0.007391304,9.652173913
Advanced TypeScript Patterns,Exploring advanced mapped types and conditional generics,12-02-2021,50,38000,3400,280,72000,88,0.089473684,0.007368421,9.684210526
Deep Dive: Graph Algorithms in Python,Implementing Dijkstra and A star algorithms from scratch,25-06-2022,72,29000,2600,210,58000,95,0.089655172,0.007241379,9.689655172
Mastering Docker Compose for Microservices,Orchestrating multi container environments for production,09-04-2023,60,45000,4000,330,85000,91,0.088888889,0.007333333,9.622222222
Deep Dive: Vue 3 Reactivity System,Understanding Proxies and track trigger mechanisms,30-01-2024,48,32000,2800,230,62000,93,0.0875,0.0071875,9.46875
Advanced SQL: Window Functions Masterclass,Writing complex analytical queries for data warehousing,22-11-2020,65,41000,3700,310,80000,89,0.090243902,0.007560976,9.780487805
System Design: Rate Limiting Algorithms,Implementing token bucket and leaky bucket strategies,15-07-2021,55,36000,3200,260,68000,94,0.088888889,0.007222222,9.611111111
Deep Dive: Python Metaclasses,Understanding type creation and class decorators,08-03-2022,45,24000,2100,170,45000,86,0.0875,0.007083333,9.458333333
Architecting Serverless Applications on AWS,Best practices for Lambda API Gateway and DynamoDB,12-09-2023,85,51000,4600,390,98000,92,0.090196078,0.007647059,9.784313725
Advanced WebGL Masterclass,Writing custom GLSL shaders for 3D web experiences,18-02-2024,95,22000,1900,150,40000,97,0.086363636,0.006818182,9.318181818
Deep Dive: B-Trees and Database Storage,How relational databases store data on disk,30-05-2020,75,34000,3000,250,65000,96,0.088235294,0.007352941,9.558823529
Mastering CI/CD Pipelines with GitHub Actions,Automating complex testing and deployment workflows,05-10-2021,58,48000,4300,360,92000,90,0.089583333,0.0075,9.708333333
Advanced Error Handling in Go,Implementing custom error types and panic recovery,14-08-2022,42,27000,2400,190,50000,87,0.088888889,0.007037037,9.592592593
Deep Dive: JVM Garbage Collection,Tuning G1GC and ZGC for high throughput applications,22-01-2023,80,31000,2800,230,58000,94,0.090322581,0.007419355,9.774193548
Building a Compiler in C,Tokenization parsing and code generation from scratch,05-03-2024,115,18000,1600,130,35000,98,0.088888889,0.007222222,9.611111111
Advanced RxJS Masterclass,Managing complex state and asynchronous streams in Angular,18-09-2020,65,29000,2600,210,55000,89,0.089655172,0.007241379,9.689655172
System Design: Distributed Caching,Architecting Redis clusters for global applications,27-04-2021,70,43000,3900,320,82000,93,0.090697674,0.00744186,9.813953488
Deep Dive: Linux Kernel Modules,Writing custom device drivers in C,10-12-2022,90,15000,1300,100,30000,95,0.086666667,0.006666667,9.333333333
Mastering CSS Grid Architectures,Creating complex asymmetrical layouts for modern web,02-06-2023,52,38000,3400,280,72000,88,0.089473684,0.007368421,9.684210526
Advanced Pandas Techniques for Big Data,Optimizing memory usage and vectorization strategies,14-01-2024,60,46000,4100,340,88000,91,0.089130435,0.007391304,9.652173913
Deep Dive: Cryptography Fundamentals in Code,Implementing AES and RSA algorithms from scratch,25-03-2020,85,26000,2300,180,48000,96,0.088461538,0.006923077,9.538461538
Python Beginner Tutorial 2024,Standard introduction to variables loops and functions,05-01-2024,25,45000,1350,95,60000,65,0.03,0.002111111,3.211111111
How to build a REST API,Creating simple endpoints using Express and Node.js,12-04-2023,30,52000,1560,110,75000,72,0.03,0.002115385,3.211538462
Intro to Figma for Developers,Basic UI design principles and exporting assets,20-08-2022,18,38000,1140,80,50000,68,0.03,0.002105263,3.210526316
CSS Flexbox Crash Course,Learn the basics of flex container and items alignment,03-11-2021,22,65000,1950,140,85000,75,0.03,0.002153846,3.215384615
JavaScript Array Methods Explained,Map filter and reduce with simple examples,15-05-2020,15,41000,1230,85,55000,69,0.03,0.002073171,3.207317073
Introduction to Git and GitHub,How to commit push and pull your code safely,28-09-2023,20,58000,1740,125,78000,71,0.03,0.002155172,3.215517241
Basic Python Math Operations,Adding subtracting and formatting numbers in Python,10-02-2024,12,25000,750,45,35000,55,0.03,0.0018,3.18
Building a Simple HTML Website,Structuring your first webpage with semantic tags,25-01-2022,28,49000,1470,105,65000,66,0.03,0.002142857,3.214285714
Intro to Databases and SQL,Understanding tables rows and basic select queries,14-07-2021,35,61000,1830,135,82000,74,0.03,0.002213115,3.221311475
React Fundamentals for Beginners,Creating your first component and using state,22-10-2020,40,72000,2160,160,95000,77,0.03,0.002222222,3.222222222
How to install Python and VS Code,Setting up your local environment for coding,05-12-2023,10,32000,960,60,42000,58,0.03,0.001875,3.1875
Basic CSS Styling Guide,Changing colors fonts and margins easily,20-01-2024,16,28000,840,55,38000,61,0.03,0.001964286,3.196428571
Intro to Object Oriented Programming,Understanding classes and objects in Java,11-05-2022,32,55000,1650,115,72000,73,0.03,0.002090909,3.209090909
Building a ToDo List App,Simple javascript project to practice DOM manipulation,08-03-2021,26,44000,1320,90,58000,67,0.03,0.002045455,3.204545455
Understanding JSON format,How to read and parse javascript object notation,17-09-2020,14,37000,1110,75,48000,64,0.03,0.002027027,3.202702703
Python Flask Tutorial for Beginners,Creating a minimal web server in Python,25-06-2023,24,48000,1440,100,62000,70,0.03,0.002083333,3.208333333
Intro to Responsive Web Design,Using media queries for mobile friendly sites,28-02-2024,21,39000,1170,85,51000,68,0.03,0.002179487,3.217948718
How to deploy a website,Hosting your static html files on Github Pages,30-10-2022,18,46000,1380,95,60000,69,0.03,0.002065217,3.206521739
Basic Data Visualization in Python,Creating simple bar charts and line graphs,15-12-2021,25,34000,1020,70,45000,66,0.03,0.002058824,3.205882353
Introduction to Linux Command Line,Navigating directories and managing files,12-04-2020,30,51000,1530,110,68000,72,0.03,0.002156863,3.215686275
Understanding API Keys and Requests,How to fetch data from external services securely,18-08-2023,19,42000,1260,88,54000,67,0.03,0.002095238,3.20952381
CSS Grid Layout Basics,Creating two dimensional layouts for web pages,12-03-2024,23,36000,1080,72,47000,65,0.03,0.002,3.2
Python List Comprehensions,Writing shorter and cleaner loops in Python,05-07-2022,15,31000,930,62,40000,62,0.03,0.002,3.2
How to create a Python Virtual Environment,Managing project dependencies cleanly and safely,22-02-2021,12,27000,810,50,35000,60,0.03,0.001851852,3.185185185
Intro to Tailwind CSS,Using utility classes for fast UI development,10-11-2020,28,63000,1890,145,86000,76,0.03,0.002301587,3.23015873
Basic Error Handling in Javascript,Using try and catch blocks to prevent crashes,14-05-2023,16,33000,990,65,43000,63,0.03,0.001969697,3.196969697
Introduction to Docker for Developers,Containerizing a simple node application,30-01-2024,35,59000,1770,130,80000,75,0.03,0.00220339,3.220338983
How to use Postman,Testing your REST API endpoints efficiently,08-04-2022,20,47000,1410,100,61000,70,0.03,0.00212766,3.212765957
Basic Web Scraping with Beautiful Soup,Extracting text and links from public websites,26-09-2021,26,41000,1230,85,53000,68,0.03,0.002073171,3.207317073
Understanding Javascript Promises,Handling asynchronous operations effectively,19-06-2020,22,54000,1620,115,70000,74,0.03,0.00212963,3.212962963
Introduction to TypeScript,Adding static typing to your javascript code,12-11-2023,30,68000,2040,150,90000,78,0.03,0.002205882,3.220588235
How to use Bootstrap 5,Building standard layouts with prebuilt components,05-02-2024,24,35000,1050,75,45000,64,0.03,0.002142857,3.214285714
Python String Manipulation,Formatting slicing and replacing text data,15-09-2022,14,29000,870,58,38000,61,0.03,0.002,3.2
Intro to Vue.js,Setting up a basic reactive component,11-01-2021,28,46000,1380,92,60000,69,0.03,0.002,3.2
Basic Authentication in Node.js,Hashing passwords with bcrypt securely,27-08-2020,32,53000,1590,118,71000,73,0.03,0.002226415,3.222641509
How to use the Javascript Console,Debugging tips for frontend developers,20-03-2023,11,24000,720,45,32000,58,0.03,0.001875,3.1875
Introduction to MongoDB,Storing data in document based nosql databases,01-03-2024,27,49000,1470,105,65000,71,0.03,0.002142857,3.214285714
Basic Markdown formatting,How to write a good README file for your project,04-12-2022,10,21000,630,40,28000,56,0.03,0.001904762,3.19047619
Python File Handling,Opening reading and writing text files,29-05-2021,18,34000,1020,70,44000,63,0.03,0.002058824,3.205882353
Intro to Agile and Scrum,Understanding basic project management concepts,05-10-2020,25,38000,1140,82,50000,65,0.03,0.002157895,3.215789474
Javascript DOM Events,Listening for clicks and keyboard inputs,22-07-2023,21,43000,1290,90,56000,67,0.03,0.002093023,3.209302326
How to setup a database locally,Installing and running MySQL on your machine,15-01-2024,22,31000,930,60,40000,62,0.03,0.001935484,3.193548387
Basic Python Modules,Importing standard libraries like math and random,18-03-2022,14,26000,780,52,34000,59,0.03,0.002,3.2
Intro to CSS Animations,Adding simple transitions and keyframes,20-11-2021,20,45000,1350,95,59000,68,0.03,0.002111111,3.211111111
Understanding HTTP Methods,Difference between GET POST PUT and DELETE,14-02-2020,17,50000,1500,108,66000,72,0.03,0.00216,3.216
Python Dictionary Basics,Storing and retrieving key value pairs,08-10-2023,15,30000,900,65,39000,61,0.03,0.002166667,3.216666667
How to write unit tests,Using Jest for simple javascript testing,20-02-2024,28,42000,1260,88,55000,69,0.03,0.002095238,3.20952381
Intro to Cloud Functions,Deploying serverless code on Firebase,11-06-2022,24,37000,1110,78,48000,66,0.03,0.002108108,3.210810811
Basic UI alignment principles,Making your apps look cleaner and more professional,26-04-2021,16,29000,870,55,37000,60,0.03,0.001896552,3.189655172
Introduction to Webpack,Bundling your javascript assets for production,03-09-2020,30,48000,1440,102,63000,71,0.03,0.002125,3.2125
Python Tuple vs List,Understanding mutability in data structures,29-01-2023,12,23000,690,48,30000,57,0.03,0.002086957,3.208695652
How to use NPM,Managing node packages and dependencies,08-03-2024,18,44000,1320,95,58000,67,0.03,0.002159091,3.215909091
Intro to C# for Beginners,Writing your first console application in Visual Studio,06-11-2022,26,52000,1560,112,69000,73,0.03,0.002153846,3.215384615
Basic SEO for Web Developers,Adding meta tags to improve search ranking,21-08-2021,20,36000,1080,75,47000,64,0.03,0.002083333,3.208333333
Understanding LocalStorage,Saving user preferences in the browser,10-05-2020,15,40000,1200,85,52000,68,0.03,0.002125,3.2125
Python Error Handling Basics,Using try except blocks to catch common errors,14-09-2023,19,33000,990,68,43000,63,0.03,0.002060606,3.206060606
How to center a div,The ultimate guide to css vertical and horizontal centering,22-01-2024,10,75000,2250,165,98000,75,0.03,0.0022,3.22
Intro to Next.js,Setting up a server rendered react application,28-02-2022,32,64000,1920,135,85000,76,0.03,0.002109375,3.2109375
Basic Form Validation in HTML,Using required attributes and simple regex,05-10-2021,18,31000,930,62,40000,61,0.03,0.002,3.2
Understanding the DOM Tree,How browsers render html into objects,12-12-2020,22,46000,1380,98,60000,69,0.03,0.002130435,3.213043478
Python Classes and Objects,A simple introduction to oop principles,20-04-2023,28,51000,1530,110,67000,72,0.03,0.002156863,3.215686275
How to use Git Branches,Working on features safely without breaking main,18-02-2024,24,57000,1710,122,75000,74,0.03,0.002140351,3.214035088
Intro to GraphQL,Querying specific data instead of REST endpoints,25-07-2022,30,49000,1470,105,64000,71,0.03,0.002142857,3.214285714
Basic Command Line Git,Useful commands every developer should memorize,16-03-2021,15,39000,1170,80,51000,66,0.03,0.002051282,3.205128205
Understanding CORS errors,Why your api requests fail and how to fix them,09-07-2020,20,62000,1860,140,81000,75,0.03,0.002258065,3.225806452
Python While Loops,Executing code repeatedly based on conditions,25-11-2023,14,28000,840,58,36000,60,0.03,0.002071429,3.207142857
How to use CSS Variables,Creating a simple light and dark theme toggle,20-03-2024,22,43000,1290,92,56000,68,0.03,0.002139535,3.213953488
Intro to Redux,Managing global state in react applications,08-09-2022,35,55000,1650,118,72000,73,0.03,0.002145455,3.214545455
Basic Database Normalization,Organizing your sql tables to reduce redundancy,22-06-2021,28,35000,1050,70,45000,65,0.03,0.002,3.2
Understanding Async Await,Writing cleaner asynchronous javascript code,28-11-2020,25,60000,1800,130,79000,74,0.03,0.002166667,3.216666667
Python Set Data Structure,Removing duplicates and performing math operations,02-05-2023,16,25000,750,50,32000,58,0.03,0.002,3.2
How to install Node.js,Downloading and setting up node and npm,10-01-2024,12,38000,1140,82,48000,64,0.03,0.002157895,3.215789474
Intro to SASS and SCSS,Writing cleaner and more maintainable CSS,18-10-2022,24,42000,1260,88,54000,69,0.03,0.002095238,3.20952381
Basic SQL Joins Explained,Understanding inner left and right joins,05-04-2021,26,47000,1410,102,62000,70,0.03,0.002170213,3.217021277
Javascript Arrow Functions,A modern and shorter syntax for writing functions,14-08-2020,14,34000,1020,70,45000,65,0.03,0.002058824,3.205882353
Python Lambda Functions,Writing anonymous functions in a single line,28-08-2023,15,29000,870,58,38000,62,0.03,0.002,3.2
How to read a technical documentation,Tips for understanding API references effectively,12-02-2024,20,32000,960,65,42000,66,0.03,0.00203125,3.203125
Intro to Web Accessibility,Adding ARIA labels for screen readers,08-01-2022,25,35000,1050,72,46000,68,0.03,0.002057143,3.205714286
Basic Regex for Web Devs,Validating emails and passwords with patterns,22-12-2021,22,39000,1170,85,50000,67,0.03,0.002179487,3.217948718
Understanding Environment Variables,Securing api keys with dot env files,10-03-2020,18,44000,1320,95,58000,71,0.03,0.002159091,3.215909091
Python Debugging Basics,Using pdb to step through your code,15-06-2023,24,31000,930,62,40000,63,0.03,0.002,3.2
LEARN C IN 5 SECONDS!!!,The fastest C programming tutorial in human history watch now,18-02-2021,2,890000,2100,45,410000,12,0.002359551,5.06E-05,0.241011236
ChatGPT wrote this app and made me $1M!!!,AI generated code that will make you instantly rich,30-11-2023,8,1500000,4200,150,750000,18,0.0028,0.0001,0.29
STOP using standard libraries!!!,Why built in functions are destroying your codebase,05-01-2024,11,920000,2600,80,380000,24,0.002826087,8.70E-05,0.291304348
Deep Dive: Rust Memory Safety,Understanding ownership and borrowing with complex examples,14-05-2022,65,48000,4300,380,95000,96,0.089583333,0.007916667,9.75
Advanced CI/CD with Kubernetes,Deploying scalable microservices using Helm and ArgoCD,22-08-2023,85,35000,3100,270,78000,91,0.088571429,0.007714286,9.628571429
System Design: Payment Gateways,Handling idempotency and distributed transactions safely,09-11-2021,72,51000,4600,410,105000,94,0.090196078,0.008039216,9.823529412
Intro to PHP and MySQL,Building a simple dynamic website backend,12-04-2020,35,62000,1860,125,82000,68,0.03,0.002016129,3.201612903
